Forward price curves

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20260620224121

Parameters
Date range,01 Jan 2021 - 31 Dec 2024
Instrument,Futures
Location,Benmore
Commodity type,Base
Duration,Quarterly

Settlement Date,Location,Duration,Commodity type,Series,Price ($/MWh)
13/01/2021,Benmore,Quarterly,Base,All maturities,91.6469
13/01/2021,Benmore,Quarterly,Base,Long-dated,79.3708
13/01/2021,Benmore,Quarterly,Base,Short-dated,128.4750
13/01/2021,Benmore,Quarterly,Base,2022 Calendar year,86.7500
13/01/2021,Benmore,Quarterly,Base,2023 Calendar year,78.1875
13/01/2021,Benmore,Quarterly,Base,2024 Calendar year,73.1750
13/01/2021,Benmore,Quarterly,Base,12 months from 01/04/2025,102.9125
13/01/2021,Benmore,Quarterly,Base,18 months from 01/04/2025,96.5000
13/01/2021,Benmore,Quarterly,Base,24 months from 01/04/2025,92.4625
13/01/2021,Benmore,Quarterly,Base,30 months from 01/04/2025,89.1750
14/01/2021,Benmore,N/A,N/A,Simple daily average spot price,206.5529
14/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,139.0354
14/01/2021,Benmore,Quarterly,Base,All maturities,100.2656
14/01/2021,Benmore,Quarterly,Base,Long-dated,88.5583
14/01/2021,Benmore,Quarterly,Base,Short-dated,135.3875
14/01/2021,Benmore,Quarterly,Base,2022 Calendar year,99.0500
14/01/2021,Benmore,Quarterly,Base,2023 Calendar year,90.8875
14/01/2021,Benmore,Quarterly,Base,2024 Calendar year,75.7375
14/01/2021,Benmore,Quarterly,Base,12 months from 01/04/2025,114.3125
14/01/2021,Benmore,Quarterly,Base,18 months from 01/04/2025,107.9583
14/01/2021,Benmore,Quarterly,Base,24 months from 01/04/2025,104.2813
14/01/2021,Benmore,Quarterly,Base,30 months from 01/04/2025,101.1300
15/01/2021,Benmore,N/A,N/A,Simple daily average spot price,268.3719
15/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,160.5132
15/01/2021,Benmore,Quarterly,Base,All maturities,103.7688
15/01/2021,Benmore,Quarterly,Base,Long-dated,92.7792
15/01/2021,Benmore,Quarterly,Base,Short-dated,136.7375
15/01/2021,Benmore,Quarterly,Base,2022 Calendar year,100.8500
15/01/2021,Benmore,Quarterly,Base,2023 Calendar year,96.2750
15/01/2021,Benmore,Quarterly,Base,2024 Calendar year,81.2125
15/01/2021,Benmore,Quarterly,Base,12 months from 01/04/2025,115.7500
15/01/2021,Benmore,Quarterly,Base,18 months from 01/04/2025,109.5167
15/01/2021,Benmore,Quarterly,Base,24 months from 01/04/2025,106.5750
15/01/2021,Benmore,Quarterly,Base,30 months from 01/04/2025,104.2200
16/01/2021,Benmore,N/A,N/A,Simple daily average spot price,170.4660
16/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,168.3511
17/01/2021,Benmore,N/A,N/A,Simple daily average spot price,123.9104
17/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,167.7233
18/01/2021,Benmore,N/A,N/A,Simple daily average spot price,97.6692
18/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,167.1529
18/01/2021,Benmore,Quarterly,Base,All maturities,104.7469
18/01/2021,Benmore,Quarterly,Base,Long-dated,94.2000
18/01/2021,Benmore,Quarterly,Base,Short-dated,136.3875
18/01/2021,Benmore,Quarterly,Base,2022 Calendar year,103.2125
18/01/2021,Benmore,Quarterly,Base,2023 Calendar year,94.6625
18/01/2021,Benmore,Quarterly,Base,2024 Calendar year,84.7250
18/01/2021,Benmore,Quarterly,Base,12 months from 01/04/2025,116.0750
18/01/2021,Benmore,Quarterly,Base,18 months from 01/04/2025,111.0583
18/01/2021,Benmore,Quarterly,Base,24 months from 01/04/2025,107.4375
18/01/2021,Benmore,Quarterly,Base,30 months from 01/04/2025,104.5000
19/01/2021,Benmore,N/A,N/A,Simple daily average spot price,97.5960
19/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,162.5838
19/01/2021,Benmore,Quarterly,Base,All maturities,104.2688
19/01/2021,Benmore,Quarterly,Base,Long-dated,94.7958
19/01/2021,Benmore,Quarterly,Base,Short-dated,132.6875
19/01/2021,Benmore,Quarterly,Base,2022 Calendar year,103.8000
19/01/2021,Benmore,Quarterly,Base,2023 Calendar year,94.6125
19/01/2021,Benmore,Quarterly,Base,2024 Calendar year,85.9750
19/01/2021,Benmore,Quarterly,Base,12 months from 01/04/2025,115.5875
19/01/2021,Benmore,Quarterly,Base,18 months from 01/04/2025,110.9500
19/01/2021,Benmore,Quarterly,Base,24 months from 01/04/2025,107.4125
19/01/2021,Benmore,Quarterly,Base,30 months from 01/04/2025,104.4150
20/01/2021,Benmore,N/A,N/A,Simple daily average spot price,88.8435
20/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,155.0317
20/01/2021,Benmore,Quarterly,Base,All maturities,105.5406
20/01/2021,Benmore,Quarterly,Base,Long-dated,97.2250
20/01/2021,Benmore,Quarterly,Base,Short-dated,130.4875
20/01/2021,Benmore,Quarterly,Base,2022 Calendar year,103.9625
20/01/2021,Benmore,Quarterly,Base,2023 Calendar year,95.7000
20/01/2021,Benmore,Quarterly,Base,2024 Calendar year,92.0125
20/01/2021,Benmore,Quarterly,Base,12 months from 01/04/2025,115.0375
20/01/2021,Benmore,Quarterly,Base,18 months from 01/04/2025,110.4750
20/01/2021,Benmore,Quarterly,Base,24 months from 01/04/2025,107.0563
20/01/2021,Benmore,Quarterly,Base,30 months from 01/04/2025,104.5650
21/01/2021,Benmore,N/A,N/A,Simple daily average spot price,112.7858
21/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,145.7745
21/01/2021,Benmore,Quarterly,Base,All maturities,106.2844
21/01/2021,Benmore,Quarterly,Base,Long-dated,97.9458
21/01/2021,Benmore,Quarterly,Base,Short-dated,131.3000
21/01/2021,Benmore,Quarterly,Base,2022 Calendar year,104.2250
21/01/2021,Benmore,Quarterly,Base,2023 Calendar year,96.0875
21/01/2021,Benmore,Quarterly,Base,2024 Calendar year,93.5250
21/01/2021,Benmore,Quarterly,Base,12 months from 01/04/2025,115.6625
21/01/2021,Benmore,Quarterly,Base,18 months from 01/04/2025,111.0667
21/01/2021,Benmore,Quarterly,Base,24 months from 01/04/2025,107.6688
21/01/2021,Benmore,Quarterly,Base,30 months from 01/04/2025,105.0750
22/01/2021,Benmore,N/A,N/A,Simple daily average spot price,104.6829
22/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,133.0407
22/01/2021,Benmore,Quarterly,Base,All maturities,105.6438
22/01/2021,Benmore,Quarterly,Base,Long-dated,97.1125
22/01/2021,Benmore,Quarterly,Base,Short-dated,131.2375
22/01/2021,Benmore,Quarterly,Base,2022 Calendar year,104.2250
22/01/2021,Benmore,Quarterly,Base,2023 Calendar year,95.4875
22/01/2021,Benmore,Quarterly,Base,2024 Calendar year,91.6250
22/01/2021,Benmore,Quarterly,Base,12 months from 01/04/2025,115.6625
22/01/2021,Benmore,Quarterly,Base,18 months from 01/04/2025,111.0667
22/01/2021,Benmore,Quarterly,Base,24 months from 01/04/2025,107.6688
22/01/2021,Benmore,Quarterly,Base,30 months from 01/04/2025,104.8350
23/01/2021,Benmore,N/A,N/A,Simple daily average spot price,97.5538
23/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,111.6885
24/01/2021,Benmore,N/A,N/A,Simple daily average spot price,97.7223
24/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,102.5955
25/01/2021,Benmore,N/A,N/A,Simple daily average spot price,118.2310
25/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,101.8856
25/01/2021,Benmore,Quarterly,Base,All maturities,106.1781
25/01/2021,Benmore,Quarterly,Base,Long-dated,97.2792
25/01/2021,Benmore,Quarterly,Base,Short-dated,132.8750
25/01/2021,Benmore,Quarterly,Base,2022 Calendar year,104.2250
