Forward price curves

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20260620224118

Parameters
Date range,01 Jan 2021 - 31 Dec 2024
Instrument,Futures
Location,Otahuhu
Commodity type,Base
Duration,Quarterly

Settlement Date,Location,Duration,Commodity type,Series,Price ($/MWh)
12/01/2021,Otahuhu,Quarterly,Base,18 months from 01/04/2025,116.3583
12/01/2021,Otahuhu,Quarterly,Base,24 months from 01/04/2025,112.6875
12/01/2021,Otahuhu,Quarterly,Base,30 months from 01/04/2025,110.0000
13/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,209.1471
13/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,137.1123
13/01/2021,Otahuhu,Quarterly,Base,All maturities,111.9563
13/01/2021,Otahuhu,Quarterly,Base,Long-dated,101.1917
13/01/2021,Otahuhu,Quarterly,Base,Short-dated,144.2500
13/01/2021,Otahuhu,Quarterly,Base,2022 Calendar year,107.1375
13/01/2021,Otahuhu,Quarterly,Base,2023 Calendar year,100.4625
13/01/2021,Otahuhu,Quarterly,Base,2024 Calendar year,95.9750
13/01/2021,Otahuhu,Quarterly,Base,12 months from 01/04/2025,123.0250
13/01/2021,Otahuhu,Quarterly,Base,18 months from 01/04/2025,116.8417
13/01/2021,Otahuhu,Quarterly,Base,24 months from 01/04/2025,113.0500
13/01/2021,Otahuhu,Quarterly,Base,30 months from 01/04/2025,110.2900
14/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,219.5946
14/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,151.0107
14/01/2021,Otahuhu,Quarterly,Base,All maturities,118.3719
14/01/2021,Otahuhu,Quarterly,Base,Long-dated,108.0375
14/01/2021,Otahuhu,Quarterly,Base,Short-dated,149.3750
14/01/2021,Otahuhu,Quarterly,Base,2022 Calendar year,120.0125
14/01/2021,Otahuhu,Quarterly,Base,2023 Calendar year,106.5000
14/01/2021,Otahuhu,Quarterly,Base,2024 Calendar year,97.6000
14/01/2021,Otahuhu,Quarterly,Base,12 months from 01/04/2025,131.5500
14/01/2021,Otahuhu,Quarterly,Base,18 months from 01/04/2025,127.0917
14/01/2021,Otahuhu,Quarterly,Base,24 months from 01/04/2025,122.5688
14/01/2021,Otahuhu,Quarterly,Base,30 months from 01/04/2025,118.8550
15/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,273.2829
15/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,172.0054
15/01/2021,Otahuhu,Quarterly,Base,All maturities,119.5406
15/01/2021,Otahuhu,Quarterly,Base,Long-dated,109.1792
15/01/2021,Otahuhu,Quarterly,Base,Short-dated,150.6250
15/01/2021,Otahuhu,Quarterly,Base,2022 Calendar year,118.8125
15/01/2021,Otahuhu,Quarterly,Base,2023 Calendar year,109.0125
15/01/2021,Otahuhu,Quarterly,Base,2024 Calendar year,99.7125
15/01/2021,Otahuhu,Quarterly,Base,12 months from 01/04/2025,131.2500
15/01/2021,Otahuhu,Quarterly,Base,18 months from 01/04/2025,126.2917
15/01/2021,Otahuhu,Quarterly,Base,24 months from 01/04/2025,122.8813
15/01/2021,Otahuhu,Quarterly,Base,30 months from 01/04/2025,119.3800
16/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,164.6619
16/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,177.7618
17/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,121.8217
17/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,175.8340
18/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,97.6358
18/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,174.6979
18/01/2021,Otahuhu,Quarterly,Base,All maturities,119.8875
18/01/2021,Otahuhu,Quarterly,Base,Long-dated,110.0417
18/01/2021,Otahuhu,Quarterly,Base,Short-dated,149.4250
18/01/2021,Otahuhu,Quarterly,Base,2022 Calendar year,119.6750
18/01/2021,Otahuhu,Quarterly,Base,2023 Calendar year,110.2250
18/01/2021,Otahuhu,Quarterly,Base,2024 Calendar year,100.2250
18/01/2021,Otahuhu,Quarterly,Base,12 months from 01/04/2025,131.7625
18/01/2021,Otahuhu,Quarterly,Base,18 months from 01/04/2025,126.9000
18/01/2021,Otahuhu,Quarterly,Base,24 months from 01/04/2025,123.4938
18/01/2021,Otahuhu,Quarterly,Base,30 months from 01/04/2025,120.2300
19/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,99.6056
19/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,169.0218
19/01/2021,Otahuhu,Quarterly,Base,All maturities,120.0625
19/01/2021,Otahuhu,Quarterly,Base,Long-dated,111.1583
19/01/2021,Otahuhu,Quarterly,Base,Short-dated,146.7750
19/01/2021,Otahuhu,Quarterly,Base,2022 Calendar year,119.8375
19/01/2021,Otahuhu,Quarterly,Base,2023 Calendar year,109.9625
19/01/2021,Otahuhu,Quarterly,Base,2024 Calendar year,103.6750
19/01/2021,Otahuhu,Quarterly,Base,12 months from 01/04/2025,131.2625
19/01/2021,Otahuhu,Quarterly,Base,18 months from 01/04/2025,126.6750
19/01/2021,Otahuhu,Quarterly,Base,24 months from 01/04/2025,123.1938
19/01/2021,Otahuhu,Quarterly,Base,30 months from 01/04/2025,119.9900
20/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,92.7083
20/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,159.8072
20/01/2021,Otahuhu,Quarterly,Base,All maturities,121.0313
20/01/2021,Otahuhu,Quarterly,Base,Long-dated,113.6417
20/01/2021,Otahuhu,Quarterly,Base,Short-dated,143.2000
20/01/2021,Otahuhu,Quarterly,Base,2022 Calendar year,120.4125
20/01/2021,Otahuhu,Quarterly,Base,2023 Calendar year,112.4875
20/01/2021,Otahuhu,Quarterly,Base,2024 Calendar year,108.0250
20/01/2021,Otahuhu,Quarterly,Base,12 months from 01/04/2025,130.3625
20/01/2021,Otahuhu,Quarterly,Base,18 months from 01/04/2025,126.3250
20/01/2021,Otahuhu,Quarterly,Base,24 months from 01/04/2025,123.0563
20/01/2021,Otahuhu,Quarterly,Base,30 months from 01/04/2025,120.7900
21/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,113.7300
21/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,147.8801
21/01/2021,Otahuhu,Quarterly,Base,All maturities,122.1875
21/01/2021,Otahuhu,Quarterly,Base,Long-dated,114.6333
21/01/2021,Otahuhu,Quarterly,Base,Short-dated,144.8500
21/01/2021,Otahuhu,Quarterly,Base,2022 Calendar year,120.9125
21/01/2021,Otahuhu,Quarterly,Base,2023 Calendar year,112.9000
21/01/2021,Otahuhu,Quarterly,Base,2024 Calendar year,110.0875
21/01/2021,Otahuhu,Quarterly,Base,12 months from 01/04/2025,131.5750
21/01/2021,Otahuhu,Quarterly,Base,18 months from 01/04/2025,127.4667
21/01/2021,Otahuhu,Quarterly,Base,24 months from 01/04/2025,123.9125
21/01/2021,Otahuhu,Quarterly,Base,30 months from 01/04/2025,121.6400
22/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,106.5194
22/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,133.7457
22/01/2021,Otahuhu,Quarterly,Base,All maturities,122.4125
22/01/2021,Otahuhu,Quarterly,Base,Long-dated,114.9917
22/01/2021,Otahuhu,Quarterly,Base,Short-dated,144.6750
22/01/2021,Otahuhu,Quarterly,Base,2022 Calendar year,121.7375
22/01/2021,Otahuhu,Quarterly,Base,2023 Calendar year,113.4375
22/01/2021,Otahuhu,Quarterly,Base,2024 Calendar year,109.8000
22/01/2021,Otahuhu,Quarterly,Base,12 months from 01/04/2025,131.5750
22/01/2021,Otahuhu,Quarterly,Base,18 months from 01/04/2025,128.0167
22/01/2021,Otahuhu,Quarterly,Base,24 months from 01/04/2025,124.4188
22/01/2021,Otahuhu,Quarterly,Base,30 months from 01/04/2025,122.1850
23/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,98.4921
23/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,111.8969
24/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,100.4173
24/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,103.8663
25/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,121.3319
25/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,103.8051
25/01/2021,Otahuhu,Quarterly,Base,All maturities,122.7156
25/01/2021,Otahuhu,Quarterly,Base,Long-dated,114.9917
