Forward price curves

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20260620224120

Parameters
Date range,01 Jan 2021 - 31 Dec 2024
Instrument,Futures
Location,Otahuhu
Commodity type,Peak
Duration,Quarterly

Settlement Date,Location,Duration,Commodity type,Series,Price ($/MWh)
12/01/2021,Otahuhu,Quarterly,Peak,12 months from 01/04/2025,63.2500
12/01/2021,Otahuhu,Quarterly,Peak,18 months from 01/04/2025,63.2500
12/01/2021,Otahuhu,Quarterly,Peak,24 months from 01/04/2025,63.2500
12/01/2021,Otahuhu,Quarterly,Peak,30 months from 01/04/2025,63.2500
13/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,209.1471
13/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,137.1123
13/01/2021,Otahuhu,Quarterly,Peak,All maturities,63.2500
13/01/2021,Otahuhu,Quarterly,Peak,Long-dated,63.2500
13/01/2021,Otahuhu,Quarterly,Peak,Short-dated,63.2500
13/01/2021,Otahuhu,Quarterly,Peak,2022 Calendar year,63.2500
13/01/2021,Otahuhu,Quarterly,Peak,2023 Calendar year,63.2500
13/01/2021,Otahuhu,Quarterly,Peak,2024 Calendar year,63.2500
13/01/2021,Otahuhu,Quarterly,Peak,12 months from 01/04/2025,63.2500
13/01/2021,Otahuhu,Quarterly,Peak,18 months from 01/04/2025,63.2500
13/01/2021,Otahuhu,Quarterly,Peak,24 months from 01/04/2025,63.2500
13/01/2021,Otahuhu,Quarterly,Peak,30 months from 01/04/2025,63.2500
14/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,219.5946
14/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,151.0107
14/01/2021,Otahuhu,Quarterly,Peak,All maturities,63.2500
14/01/2021,Otahuhu,Quarterly,Peak,Long-dated,63.2500
14/01/2021,Otahuhu,Quarterly,Peak,Short-dated,63.2500
14/01/2021,Otahuhu,Quarterly,Peak,2022 Calendar year,63.2500
14/01/2021,Otahuhu,Quarterly,Peak,2023 Calendar year,63.2500
14/01/2021,Otahuhu,Quarterly,Peak,2024 Calendar year,63.2500
14/01/2021,Otahuhu,Quarterly,Peak,12 months from 01/04/2025,63.2500
14/01/2021,Otahuhu,Quarterly,Peak,18 months from 01/04/2025,63.2500
14/01/2021,Otahuhu,Quarterly,Peak,24 months from 01/04/2025,63.2500
14/01/2021,Otahuhu,Quarterly,Peak,30 months from 01/04/2025,63.2500
15/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,273.2829
15/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,172.0054
15/01/2021,Otahuhu,Quarterly,Peak,All maturities,63.2500
15/01/2021,Otahuhu,Quarterly,Peak,Long-dated,63.2500
15/01/2021,Otahuhu,Quarterly,Peak,Short-dated,63.2500
15/01/2021,Otahuhu,Quarterly,Peak,2022 Calendar year,63.2500
15/01/2021,Otahuhu,Quarterly,Peak,2023 Calendar year,63.2500
15/01/2021,Otahuhu,Quarterly,Peak,2024 Calendar year,63.2500
15/01/2021,Otahuhu,Quarterly,Peak,12 months from 01/04/2025,63.2500
15/01/2021,Otahuhu,Quarterly,Peak,18 months from 01/04/2025,63.2500
15/01/2021,Otahuhu,Quarterly,Peak,24 months from 01/04/2025,63.2500
15/01/2021,Otahuhu,Quarterly,Peak,30 months from 01/04/2025,63.2500
16/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,164.6619
16/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,177.7618
17/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,121.8217
17/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,175.8340
18/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,97.6358
18/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,174.6979
18/01/2021,Otahuhu,Quarterly,Peak,All maturities,63.2500
18/01/2021,Otahuhu,Quarterly,Peak,Long-dated,63.2500
18/01/2021,Otahuhu,Quarterly,Peak,Short-dated,63.2500
18/01/2021,Otahuhu,Quarterly,Peak,2022 Calendar year,63.2500
18/01/2021,Otahuhu,Quarterly,Peak,2023 Calendar year,63.2500
18/01/2021,Otahuhu,Quarterly,Peak,2024 Calendar year,63.2500
18/01/2021,Otahuhu,Quarterly,Peak,12 months from 01/04/2025,63.2500
18/01/2021,Otahuhu,Quarterly,Peak,18 months from 01/04/2025,63.2500
18/01/2021,Otahuhu,Quarterly,Peak,24 months from 01/04/2025,63.2500
18/01/2021,Otahuhu,Quarterly,Peak,30 months from 01/04/2025,63.2500
19/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,99.6056
19/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,169.0218
19/01/2021,Otahuhu,Quarterly,Peak,All maturities,63.2500
19/01/2021,Otahuhu,Quarterly,Peak,Long-dated,63.2500
19/01/2021,Otahuhu,Quarterly,Peak,Short-dated,63.2500
19/01/2021,Otahuhu,Quarterly,Peak,2022 Calendar year,63.2500
19/01/2021,Otahuhu,Quarterly,Peak,2023 Calendar year,63.2500
19/01/2021,Otahuhu,Quarterly,Peak,2024 Calendar year,63.2500
19/01/2021,Otahuhu,Quarterly,Peak,12 months from 01/04/2025,63.2500
19/01/2021,Otahuhu,Quarterly,Peak,18 months from 01/04/2025,63.2500
19/01/2021,Otahuhu,Quarterly,Peak,24 months from 01/04/2025,63.2500
19/01/2021,Otahuhu,Quarterly,Peak,30 months from 01/04/2025,63.2500
20/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,92.7083
20/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,159.8072
20/01/2021,Otahuhu,Quarterly,Peak,All maturities,63.2500
20/01/2021,Otahuhu,Quarterly,Peak,Long-dated,63.2500
20/01/2021,Otahuhu,Quarterly,Peak,Short-dated,63.2500
20/01/2021,Otahuhu,Quarterly,Peak,2022 Calendar year,63.2500
20/01/2021,Otahuhu,Quarterly,Peak,2023 Calendar year,63.2500
20/01/2021,Otahuhu,Quarterly,Peak,2024 Calendar year,63.2500
20/01/2021,Otahuhu,Quarterly,Peak,12 months from 01/04/2025,63.2500
20/01/2021,Otahuhu,Quarterly,Peak,18 months from 01/04/2025,63.2500
20/01/2021,Otahuhu,Quarterly,Peak,24 months from 01/04/2025,63.2500
20/01/2021,Otahuhu,Quarterly,Peak,30 months from 01/04/2025,63.2500
21/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,113.7300
21/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,147.8801
21/01/2021,Otahuhu,Quarterly,Peak,All maturities,63.2500
21/01/2021,Otahuhu,Quarterly,Peak,Long-dated,63.2500
21/01/2021,Otahuhu,Quarterly,Peak,Short-dated,63.2500
21/01/2021,Otahuhu,Quarterly,Peak,2022 Calendar year,63.2500
21/01/2021,Otahuhu,Quarterly,Peak,2023 Calendar year,63.2500
21/01/2021,Otahuhu,Quarterly,Peak,2024 Calendar year,63.2500
21/01/2021,Otahuhu,Quarterly,Peak,12 months from 01/04/2025,63.2500
21/01/2021,Otahuhu,Quarterly,Peak,18 months from 01/04/2025,63.2500
21/01/2021,Otahuhu,Quarterly,Peak,24 months from 01/04/2025,63.2500
21/01/2021,Otahuhu,Quarterly,Peak,30 months from 01/04/2025,63.2500
22/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,106.5194
22/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,133.7457
22/01/2021,Otahuhu,Quarterly,Peak,All maturities,63.2500
22/01/2021,Otahuhu,Quarterly,Peak,Long-dated,63.2500
22/01/2021,Otahuhu,Quarterly,Peak,Short-dated,63.2500
22/01/2021,Otahuhu,Quarterly,Peak,2022 Calendar year,63.2500
22/01/2021,Otahuhu,Quarterly,Peak,2023 Calendar year,63.2500
22/01/2021,Otahuhu,Quarterly,Peak,2024 Calendar year,63.2500
