Forward price curves

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20260620224123

Parameters
Date range,01 Jan 2021 - 31 Dec 2024
Instrument,Futures
Location,Benmore
Commodity type,Peak
Duration,Quarterly

Settlement Date,Location,Duration,Commodity type,Series,Price ($/MWh)
13/01/2021,Benmore,N/A,N/A,Simple daily average spot price,186.8435
13/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,125.2544
13/01/2021,Benmore,Quarterly,Peak,All maturities,79.9875
13/01/2021,Benmore,Quarterly,Peak,Long-dated,67.5500
13/01/2021,Benmore,Quarterly,Peak,Short-dated,117.3000
13/01/2021,Benmore,Quarterly,Peak,2022 Calendar year,92.9500
13/01/2021,Benmore,Quarterly,Peak,2023 Calendar year,54.8500
13/01/2021,Benmore,Quarterly,Peak,2024 Calendar year,54.8500
13/01/2021,Benmore,Quarterly,Peak,12 months from 01/04/2025,98.4000
13/01/2021,Benmore,Quarterly,Peak,18 months from 01/04/2025,96.7667
13/01/2021,Benmore,Quarterly,Peak,24 months from 01/04/2025,86.2875
13/01/2021,Benmore,Quarterly,Peak,30 months from 01/04/2025,80.0000
14/01/2021,Benmore,N/A,N/A,Simple daily average spot price,206.5529
14/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,139.0354
14/01/2021,Benmore,Quarterly,Peak,All maturities,79.9875
14/01/2021,Benmore,Quarterly,Peak,Long-dated,67.5500
14/01/2021,Benmore,Quarterly,Peak,Short-dated,117.3000
14/01/2021,Benmore,Quarterly,Peak,2022 Calendar year,92.9500
14/01/2021,Benmore,Quarterly,Peak,2023 Calendar year,54.8500
14/01/2021,Benmore,Quarterly,Peak,2024 Calendar year,54.8500
14/01/2021,Benmore,Quarterly,Peak,12 months from 01/04/2025,98.4000
14/01/2021,Benmore,Quarterly,Peak,18 months from 01/04/2025,96.7667
14/01/2021,Benmore,Quarterly,Peak,24 months from 01/04/2025,86.2875
14/01/2021,Benmore,Quarterly,Peak,30 months from 01/04/2025,80.0000
15/01/2021,Benmore,N/A,N/A,Simple daily average spot price,268.3719
15/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,160.5132
15/01/2021,Benmore,Quarterly,Peak,All maturities,79.9875
15/01/2021,Benmore,Quarterly,Peak,Long-dated,67.5500
15/01/2021,Benmore,Quarterly,Peak,Short-dated,117.3000
15/01/2021,Benmore,Quarterly,Peak,2022 Calendar year,92.9500
15/01/2021,Benmore,Quarterly,Peak,2023 Calendar year,54.8500
15/01/2021,Benmore,Quarterly,Peak,2024 Calendar year,54.8500
15/01/2021,Benmore,Quarterly,Peak,12 months from 01/04/2025,98.4000
15/01/2021,Benmore,Quarterly,Peak,18 months from 01/04/2025,96.7667
15/01/2021,Benmore,Quarterly,Peak,24 months from 01/04/2025,86.2875
15/01/2021,Benmore,Quarterly,Peak,30 months from 01/04/2025,80.0000
16/01/2021,Benmore,N/A,N/A,Simple daily average spot price,170.4660
16/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,168.3511
17/01/2021,Benmore,N/A,N/A,Simple daily average spot price,123.9104
17/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,167.7233
18/01/2021,Benmore,N/A,N/A,Simple daily average spot price,97.6692
18/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,167.1529
18/01/2021,Benmore,Quarterly,Peak,All maturities,79.9875
18/01/2021,Benmore,Quarterly,Peak,Long-dated,67.5500
18/01/2021,Benmore,Quarterly,Peak,Short-dated,117.3000
18/01/2021,Benmore,Quarterly,Peak,2022 Calendar year,92.9500
18/01/2021,Benmore,Quarterly,Peak,2023 Calendar year,54.8500
18/01/2021,Benmore,Quarterly,Peak,2024 Calendar year,54.8500
18/01/2021,Benmore,Quarterly,Peak,12 months from 01/04/2025,98.4000
18/01/2021,Benmore,Quarterly,Peak,18 months from 01/04/2025,96.7667
18/01/2021,Benmore,Quarterly,Peak,24 months from 01/04/2025,86.2875
18/01/2021,Benmore,Quarterly,Peak,30 months from 01/04/2025,80.0000
19/01/2021,Benmore,N/A,N/A,Simple daily average spot price,97.5960
19/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,162.5838
19/01/2021,Benmore,Quarterly,Peak,All maturities,79.9875
19/01/2021,Benmore,Quarterly,Peak,Long-dated,67.5500
19/01/2021,Benmore,Quarterly,Peak,Short-dated,117.3000
19/01/2021,Benmore,Quarterly,Peak,2022 Calendar year,92.9500
19/01/2021,Benmore,Quarterly,Peak,2023 Calendar year,54.8500
19/01/2021,Benmore,Quarterly,Peak,2024 Calendar year,54.8500
19/01/2021,Benmore,Quarterly,Peak,12 months from 01/04/2025,98.4000
19/01/2021,Benmore,Quarterly,Peak,18 months from 01/04/2025,96.7667
19/01/2021,Benmore,Quarterly,Peak,24 months from 01/04/2025,86.2875
19/01/2021,Benmore,Quarterly,Peak,30 months from 01/04/2025,80.0000
20/01/2021,Benmore,N/A,N/A,Simple daily average spot price,88.8435
20/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,155.0317
20/01/2021,Benmore,Quarterly,Peak,All maturities,79.9875
20/01/2021,Benmore,Quarterly,Peak,Long-dated,67.5500
20/01/2021,Benmore,Quarterly,Peak,Short-dated,117.3000
20/01/2021,Benmore,Quarterly,Peak,2022 Calendar year,92.9500
20/01/2021,Benmore,Quarterly,Peak,2023 Calendar year,54.8500
20/01/2021,Benmore,Quarterly,Peak,2024 Calendar year,54.8500
20/01/2021,Benmore,Quarterly,Peak,12 months from 01/04/2025,98.4000
20/01/2021,Benmore,Quarterly,Peak,18 months from 01/04/2025,96.7667
20/01/2021,Benmore,Quarterly,Peak,24 months from 01/04/2025,86.2875
20/01/2021,Benmore,Quarterly,Peak,30 months from 01/04/2025,80.0000
21/01/2021,Benmore,N/A,N/A,Simple daily average spot price,112.7858
