STATION,NODE,YEAR,WEEK,PEAK,SHOULDER,OFFPEAK
Glenbrook_cogen,NI,2011,38,9.83,10.348,10.811
Glenbrook_cogen,NI,2011,39,13.407,14.291,14.569
Glenbrook_cogen,NI,2011,40,42.195,44.632,42.235
Glenbrook_cogen,NI,2011,41,74.874,73.842,72.231
Glenbrook_cogen,NI,2011,42,53.122,46.633,60.305
Glenbrook_cogen,NI,2011,43,32.777,32.651,31.406
Glenbrook_cogen,NI,2011,44,61.67,60.64,53.205
Glenbrook_cogen,NI,2011,45,71.725,68.784,73.573
Glenbrook_cogen,NI,2011,46,53.943,55.58,62.239
Glenbrook_cogen,NI,2011,47,71.585,69.508,74.102
Glenbrook_cogen,NI,2011,48,51.121,59.763,57.3
Glenbrook_cogen,NI,2011,49,72.194,69.269,71.528
Glenbrook_cogen,NI,2011,50,62.407,65.61,73.795
Glenbrook_cogen,NI,2011,51,68.208,67.426,71.736
Glenbrook_cogen,NI,2011,52,72.919,75.898,77.597
Glenbrook_cogen,NI,2012,1,63.928,70.134,68.368
Glenbrook_cogen,NI,2012,2,64.622,64.517,70.982
Glenbrook_cogen,NI,2012,3,55.967,67.929,69.562
Glenbrook_cogen,NI,2012,4,68.435,66.004,65.866
Glenbrook_cogen,NI,2012,5,50.597,60.143,63.137
Glenbrook_cogen,NI,2012,6,45.83,41.767,38.319
Glenbrook_cogen,NI,2012,7,74.776,70.859,66.087
Glenbrook_cogen,NI,2012,8,73.436,71.931,73.853
Glenbrook_cogen,NI,2012,9,45.643,43.544,52.297
Glenbrook_cogen,NI,2012,10,56.339,48.515,55.192
Glenbrook_cogen,NI,2012,11,50.151,50.193,55.523
Glenbrook_cogen,NI,2012,12,13.682,21.624,32.096
Glenbrook_cogen,NI,2012,13,52.956,50.714,51.991
Glenbrook_cogen,NI,2012,14,72.756,72.433,75.339
Glenbrook_cogen,NI,2012,15,65.025,69.932,76.425
Glenbrook_cogen,NI,2012,16,65.457,62.114,69.268
Glenbrook_cogen,NI,2012,17,67.835,69.811,73.727
Glenbrook_cogen,NI,2012,18,59.093,62.749,69.486
Glenbrook_cogen,NI,2012,19,82.268,80.103,81.391
Glenbrook_cogen,NI,2012,20,82.536,83.327,81.663
Glenbrook_cogen,NI,2012,21,73.388,73.341,76.184
Glenbrook_cogen,NI,2012,22,61.516,69.8,75.986
Glenbrook_cogen,NI,2012,23,69.796,69.952,70.358
Glenbrook_cogen,NI,2012,24,66.33,61.606,71.101
Glenbrook_cogen,NI,2012,25,72.122,70.744,64.223
Glenbrook_cogen,NI,2012,26,72.034,70.353,67.632
Glenbrook_cogen,NI,2012,27,67.01,62.417,65.007
Glenbrook_cogen,NI,2012,28,66.912,66.165,66.267
Glenbrook_cogen,NI,2012,29,72.298,72.236,72.268
Glenbrook_cogen,NI,2012,30,56.975,56.538,60.75
Glenbrook_cogen,NI,2012,31,63.279,63.623,63.876
Glenbrook_cogen,NI,2012,32,65.52,65.432,66.39
Glenbrook_cogen,NI,2012,33,40.205,43.437,45.919
Glenbrook_cogen,NI,2012,34,67.342,68.202,71.257
Glenbrook_cogen,NI,2012,35,78.165,80.517,80.975
Glenbrook_cogen,NI,2012,36,78.209,78.219,78.981
Glenbrook_cogen,NI,2012,37,63.076,68.09,74.786
Glenbrook_cogen,NI,2012,38,74.545,76.734,79.16
Glenbrook_cogen,NI,2012,39,83.098,82.085,82.239
Glenbrook_cogen,NI,2012,40,71.071,73.125,77.211
Glenbrook_cogen,NI,2012,41,75.651,73.475,76.759
Glenbrook_cogen,NI,2012,42,78.094,77.434,83.496
Glenbrook_cogen,NI,2012,43,65.067,68.175,76.08
Glenbrook_cogen,NI,2012,44,54.387,51.747,47.776
Glenbrook_cogen,NI,2012,45,36.147,38.668,35.338
Glenbrook_cogen,NI,2012,46,56.592,51.396,53.232
Glenbrook_cogen,NI,2012,47,52.567,50.992,53.649
Glenbrook_cogen,NI,2012,48,52.744,62.118,68.195
Glenbrook_cogen,NI,2012,49,20.105,29.416,46.677
Glenbrook_cogen,NI,2012,50,60.481,67.038,67.75
Glenbrook_cogen,NI,2012,51,67.427,69.549,71.962
Glenbrook_cogen,NI,2012,52,75.775,79.242,80.753
Glenbrook_cogen,NI,2013,1,74.682,75.507,78.001
Glenbrook_cogen,NI,2013,2,79.423,81.153,82.166
Glenbrook_cogen,NI,2013,3,60.919,64.628,73.62
Glenbrook_cogen,NI,2013,4,70.102,72.128,77.811
Glenbrook_cogen,NI,2013,5,56.644,60.92,53.961
Glenbrook_cogen,NI,2013,6,70.619,68.087,68.137
Glenbrook_cogen,NI,2013,7,69.6,61.573,71.038
Glenbrook_cogen,NI,2013,8,73.698,70.309,62.636
Glenbrook_cogen,NI,2013,9,65.866,66.129,62.295
Glenbrook_cogen,NI,2013,10,78.132,75.218,75.88
Glenbrook_cogen,NI,2013,11,80.891,79.344,79.237
Glenbrook_cogen,NI,2013,12,64.391,71.578,69.71
Glenbrook_cogen,NI,2013,13,71.45,73.86,75.03
Glenbrook_cogen,NI,2013,14,71.141,69.413,71.103
Glenbrook_cogen,NI,2013,15,64.285,51.938,43.281
Glenbrook_cogen,NI,2013,16,40.914,44.37,44.173
Glenbrook_cogen,NI,2013,17,75.869,74.409,77.271
Glenbrook_cogen,NI,2013,18,70.487,69.147,71.282
Glenbrook_cogen,NI,2013,19,60.24,63.292,66.41
Glenbrook_cogen,NI,2013,20,62.445,62.573,64.406
Glenbrook_cogen,NI,2013,21,61.46,63.662,67.292
Glenbrook_cogen,NI,2013,22,75.761,66.991,62.092
Glenbrook_cogen,NI,2013,23,38.483,38.104,41.35
Glenbrook_cogen,NI,2013,24,70.426,70.963,70.913
Glenbrook_cogen,NI,2013,25,78.775,75.667,76.131
Glenbrook_cogen,NI,2013,26,75.808,74.829,76.224
Glenbrook_cogen,NI,2013,27,72.298,73.191,75.626
Glenbrook_cogen,NI,2013,28,75.371,73.313,76.183
Glenbrook_cogen,NI,2013,29,51.188,61.895,68.651
Glenbrook_cogen,NI,2013,30,73.954,76.803,78.948
Glenbrook_cogen,NI,2013,31,79.495,83.257,85.207
Glenbrook_cogen,NI,2013,32,79.199,80.093,83.174
Glenbrook_cogen,NI,2013,33,70.028,67.49,64.544
Glenbrook_cogen,NI,2013,34,64.137,63.042,66.186
Glenbrook_cogen,NI,2013,35,77.815,78.658,78.723
Glenbrook_cogen,NI,2013,36,74.599,70.364,76.322
Glenbrook_cogen,NI,2013,37,53.736,54.098,60.572
Glenbrook_cogen,NI,2013,38,61.725,59.223,68.782
Glenbrook_cogen,NI,2013,39,52.035,55.037,58.224
Glenbrook_cogen,NI,2013,40,57.548,59.456,63.113
Glenbrook_cogen,NI,2013,41,52.603,47.189,52.006
Glenbrook_cogen,NI,2013,42,23.684,38.061,42.28
Glenbrook_cogen,NI,2013,43,48.311,57.239,66.568
Glenbrook_cogen,NI,2013,44,74.011,68.25,73.792
Glenbrook_cogen,NI,2013,45,77.894,77.512,77.734
Glenbrook_cogen,NI,2013,46,73.981,75.305,74.388
