% Historical weekly inflow sequences [cumecs].

CATCHMENT,,Lake_Arapuni,Lake_Aratiatia,Lake_Atiamuri,Lake_Aviemore,Lake_Benmore,Lake_Dunstan,Lake_Cobb,Lake_Coleridge,Lake_Hawea,Lake_Karapiro,Lakes_Manapouri_Te_Anau,Mangahao_head,Lake_Maraetai,Lake_Matahina,Lake_Pukaki,Lake_Tekapo,Lake_Ohakuri,Lake_Ohau,Lake_Moawhango,Lake_Roxburgh,Lake_Taupo,Lake_Rotoaira,Lake_Waikaremoana,Lake_Waipapa,Lake_Waitaki,Lake_Wanaka,Lake_Whakamaru
INFLOW_REGION,,NI,NI,NI,SI,SI,SI,SI,SI,SI,NI,SI,NI,NI,NI,SI,SI,NI,SI,NI,SI,NI,NI,NI,NI,SI,SI,NI
YEAR,WEEK
1932,18,4.086,2.067857,5.119857,1.752857,21.118143,178.839429,6.749714,19.459,38.955857,13.858571,160.025572,5.545429,11.023571,50.555615,61.988286,47.924286,24.815857,39.696429,15.222778,6.103,64.64725,21.861333,63.400857,4.252857,4.160286,168.614857,8.405286
1932,19,3.827571,1.937143,4.796143,2.010429,24.217,158.014,8.427,26.947143,34.518429,12.982286,394.197143,8.223286,10.326714,65.703615,65.350429,42.255143,23.246429,45.520714,36.672556,5.392429,140.949222,65.0047,16.921571,3.983857,4.770857,150.567143,7.873857
1932,20,5.489429,2.778571,6.878857,2.657,32.011429,138.839714,8.149571,25.708429,52.617429,18.62,159.749571,3.706,14.810714,65.021182,83.368571,63.275429,33.341143,60.171143,30.151875,4.738,147.432846,43.756923,23.991286,5.713857,6.306143,153.088143,11.293143
1932,21,4.994571,2.527714,6.258429,1.864143,22.457571,115.417857,5.343286,13.18,15.153143,16.941143,336.744857,5.125143,13.475429,51.071636,57.906571,36.789,30.335,42.212714,19.71075,3.938857,77.713556,25.901875,17.984571,5.198571,4.424286,144.520286,10.274714
1932,22,4.841286,2.450143,6.066143,1.475857,17.779714,110.416857,4.625571,9.976429,8.009,16.420286,303.905286,1.456571,13.061143,51.358667,45.596571,26.711286,29.402286,33.421,20.065333,3.768143,78.299625,24.292,12.268143,5.038571,3.502286,128.693286,9.958714
1932,23,4.98,2.520571,6.240143,1.736,20.911,107.845,4.718,10.387857,8.009,16.891429,218.886286,6.022571,13.436,58.727,53.382857,17.305143,30.245857,39.307,27.6225,3.680429,114.269,38.395,5.797,5.183286,4.119,110.723571,10.244571
1932,24,4.446,2.250143,5.571143,1.736,20.911,93.344714,4.418714,9.051857,8.009,15.080571,151.086571,6.392,11.995429,59.892778,53.102143,27.633143,27.003,39.307,29.511714,3.185286,113.316714,41.491143,5.696714,4.627571,4.119,107.794714,9.146
1932,25,7.765286,3.930143,9.730286,1.677286,20.204,81.791,4.278143,8.425,8.009,26.338714,247.180821,16.955,20.950571,87.104786,50.916143,31.632571,47.162571,37.978,59.157222,2.791,269.646714,98.379273,16.467429,8.082429,3.979857,102.398,15.974571
1932,26,7.626714,3.860286,9.556857,1.025286,12.352286,75.469667,5.157286,12.349429,17.709286,25.868429,251.672857,8.695571,20.576571,84.416286,30.852714,32.289429,46.320857,23.219,58.432818,2.557571,261.944273,91.2536,15.282143,7.937857,2.433429,103.145571,15.689286
1932,27,5.64,2.854429,7.067429,1.071857,12.916429,76.700857,4.199429,8.072857,24.012857,19.13,277.932429,6.491143,15.216571,58.472214,31.954857,18.423857,34.254286,24.278571,26.5185,2.617571,106.812,33.675273,8.319429,5.870143,2.544714,91.133,11.602286
1932,28,5.481857,2.774429,6.869,0.765,9.218,32.822714,4.288714,8.472429,24.013143,18.593,197.446571,7.921143,14.789714,75.4645,22.627714,22.009714,33.293,17.327,48.989417,1.120143,201.5858,69.5791,10.742143,5.705429,1.815857,87.124714,11.276571
1932,29,5.572429,2.82,6.982429,0.961,11.583,33.135778,3.965,7.026857,18.653571,18.900571,76.93,1.463571,15.033857,55.010818,28.357714,10.764714,33.843429,21.772,27.312583,1.159429,100.520769,35.355929,10.281857,5.799857,2.282,71.745571,11.463
1932,30,4.758429,2.408143,5.962286,0.951,11.462429,69.037444,4.057286,7.437714,12.871429,16.138857,64.001964,3.156429,12.837429,62.419643,28.161286,17.013571,28.898714,21.545571,29.918,2.321714,125.3698,43.815091,14.030429,4.952286,2.258286,51.203429,9.788143
1932,31,3.765429,1.905714,4.718286,0.247,2.973143,90.030857,3.678143,5.746,11.445571,12.771857,143.172429,6.774571,10.159143,51.457643,7.327857,11.539857,22.869143,5.588429,20.730556,3.072429,74.372917,22.008444,27.185,3.919,0.585429,40.621857,7.746
1932,32,4.133286,2.091857,5.179143,0.356571,4.295857,106.875571,3.643143,5.590286,12.347857,14.019143,93.254572,4.438286,11.151143,50.736714,10.629286,11.914286,25.103,8.075,18.1797,3.647143,71.5413,24.545111,8.373,4.302,0.846286,40.893857,8.502571
1932,33,3.278286,1.659143,4.107714,1.294143,15.593857,89.548571,5.066714,11.945286,25.492286,11.119143,232.824286,10.556143,8.844571,60.912154,38.369286,48.219286,19.910429,29.311857,31.198778,3.056,116.044111,49.8202,36.527714,3.412,3.072143,50.657143,6.743571
1932,34,3.823286,1.935,4.790571,0.559571,6.742571,104.811625,4.212429,8.131571,16.678,12.967429,259.199857,5.414857,10.314429,64.083333,16.254571,20.868143,23.219429,12.674,31.080286,3.359714,138.815539,44.408571,25.459857,3.979,1.328429,68.786714,7.864714
1932,35,4.377,2.215143,5.484571,1.899857,22.888857,110.300143,5.683429,14.698286,27.674571,14.846,473.295429,26.919571,11.808857,68.531923,52.968857,31.461143,26.583143,43.023857,40.333667,3.764143,164.481364,60.379375,16.710571,4.555857,4.509143,99.194571,9.004143
