reservoir,storage_gwh,water_value,week
Lake_Hawea,0.0,176.60772357723576,1
Lake_Hawea,36.46706302083333,176.60772357723576,1
Lake_Hawea,72.93412604166666,176.60772357723576,1
Lake_Hawea,109.40118906249998,176.60772357723576,1
Lake_Hawea,145.86825208333332,176.60772357723576,1
Lake_Hawea,182.33531510416665,176.60772357723576,1
Lake_Hawea,218.80237812499996,176.60772357723576,1
Lake_Hawea,255.2694411458333,176.60772357723576,1
Lake_Hawea,291.73650416666663,176.60772357723576,1
Lake_Ohau,0.0,121.14583333333333,1
Lake_Ohau,2.753272847222222,121.14583333333333,1
Lake_Ohau,5.506545694444444,121.14583333333333,1
Lake_Ohau,8.259818541666666,121.14583333333333,1
Lake_Ohau,11.013091388888888,121.14583333333333,1
Lake_Ohau,13.76636423611111,121.14583333333333,1
Lake_Ohau,16.519637083333333,121.14583333333333,1
Lake_Ohau,19.272909930555556,121.14583333333333,1
Lake_Ohau,22.026182777777777,121.14583333333333,1
Lake_Pukaki,0.0,161.58946072881227,1
Lake_Pukaki,222.73020703819446,161.58946072881227,1
Lake_Pukaki,445.46041407638893,161.58946072881227,1
Lake_Pukaki,668.1906211145833,134.5333333333334,1
Lake_Pukaki,890.9208281527779,134.5333333333334,1
Lake_Pukaki,1113.6510351909724,134.5333333333334,1
Lake_Pukaki,1336.3812422291667,134.5333333333334,1
Lake_Pukaki,1559.1114492673612,134.5333333333334,1
Lake_Pukaki,1781.8416563055557,134.5333333333334,1
Lake_Taupo,0.0,194.674560106129,1
Lake_Taupo,73.39213194444446,194.674560106129,1
Lake_Taupo,146.78426388888892,194.674560106129,1
Lake_Taupo,220.17639583333337,194.674560106129,1
Lake_Taupo,293.56852777777783,194.674560106129,1
Lake_Taupo,366.9606597222223,194.674560106129,1
Lake_Taupo,440.35279166666675,194.674560106129,1
Lake_Taupo,513.7449236111112,194.674560106129,1
Lake_Taupo,587.1370555555557,194.674560106129,1
Lake_Tekapo,0.0,132.04841112672406,1
Lake_Tekapo,90.92506666666665,132.04841112672406,1
Lake_Tekapo,181.8501333333333,132.04841112672406,1
Lake_Tekapo,272.7751999999999,97.07999999999994,1
Lake_Tekapo,363.7002666666666,97.07999999999994,1
Lake_Tekapo,454.6253333333333,97.07999999999994,1
Lake_Tekapo,545.5503999999999,97.07999999999994,1
Lake_Tekapo,636.4754666666665,97.07999999999994,1
Lake_Tekapo,727.4005333333332,97.07999999999994,1
Lake_Waikaremoana,0.0,2000.0700000000022,1
Lake_Waikaremoana,19.28293402777778,2000.0700000000022,1
Lake_Waikaremoana,38.56586805555556,2000.0700000000022,1
Lake_Waikaremoana,57.84880208333334,2000.0700000000022,1
Lake_Waikaremoana,77.13173611111112,2000.0700000000022,1
Lake_Waikaremoana,96.41467013888891,2000.0700000000022,1
Lake_Waikaremoana,115.69760416666668,2000.0700000000022,1
Lake_Waikaremoana,134.98053819444448,2000.0700000000022,1
Lake_Waikaremoana,154.26347222222225,2000.0700000000022,1
Lakes_Manapouri_Te_Anau,0.0,200.0,1
Lakes_Manapouri_Te_Anau,55.00767530555556,200.0,1
Lakes_Manapouri_Te_Anau,110.01535061111112,200.0,1
Lakes_Manapouri_Te_Anau,165.02302591666668,200.0,1
Lakes_Manapouri_Te_Anau,220.03070122222223,200.0,1
Lakes_Manapouri_Te_Anau,275.0383765277778,200.0,1
Lakes_Manapouri_Te_Anau,330.04605183333337,200.0,1
Lakes_Manapouri_Te_Anau,385.0537271388889,200.0,1
Lakes_Manapouri_Te_Anau,440.06140244444447,200.0,1
Lake_Hawea,0.0,163.0225140411844,2
Lake_Hawea,36.46706302083333,163.0225140411844,2
Lake_Hawea,72.93412604166666,163.0225140411844,2
Lake_Hawea,109.40118906249998,163.0225140411844,2
Lake_Hawea,145.86825208333332,163.0225140411844,2
Lake_Hawea,182.33531510416665,163.0225140411844,2
Lake_Hawea,218.80237812499996,163.0225140411844,2
